Tick,Active_Agents,Compute_Time_sec,CPU_Usage_percent,RAM_Usage_MB,Routing_Queue_Size,Routes_Per_Sec
0,50,0.0,0.0,155.34765625,7,0.0
1,50,0.8862636659996497,31.7,156.76953125,6,7.8983267266230985
2,50,0.025493930999800796,9.0,156.78125,3,235.35013098007062
3,50,0.016822921999846585,5.2,156.7890625,4,178.32811684125733
4,50,0.020102235001104418,12.8,156.79296875,3,198.98284940854785
5,50,0.018554020000010496,5.2,156.796875,3,161.6900272824058
6,50,0.018666715999643202,4.6,156.80078125,4,160.7138609735822
7,50,0.00930114900074841,7.3,156.8046875,3,430.05439432033
8,50,0.016579072000240558,14.5,156.8046875,3,180.9510206576382
9,50,0.021363850999478018,14.8,156.8125,9,140.42412110406963
10,50,0.029436490000080084,13.3,156.8203125,5,305.7429741105517
11,50,0.02133021000008739,11.4,156.8203125,0,234.4093189883979
12,50,0.0,4.5,156.8203125,0,0.0
13,50,0.0,9.5,156.8203125,0,0.0
14,50,0.0,14.3,156.8203125,0,0.0
15,50,0.0,13.1,156.8203125,0,0.0
16,50,0.0,8.8,156.8203125,0,0.0
17,50,0.0,10.1,156.8203125,0,0.0
18,50,0.0,4.4,156.8203125,0,0.0
19,50,0.0,8.2,156.8203125,0,0.0
20,50,0.0,10.1,156.8203125,0,0.0
21,50,0.0,7.0,156.82421875,0,0.0
22,50,0.0,3.8,156.82421875,0,0.0
23,50,0.0,10.1,156.82421875,0,0.0
24,50,0.0,16.9,156.82421875,0,0.0
25,50,0.0,39.2,156.82421875,0,0.0
26,50,0.0,23.9,156.82421875,0,0.0
27,50,0.0,11.3,156.82421875,0,0.0
28,50,0.0,29.1,157.19140625,0,0.0
29,50,0.0,16.8,157.19140625,0,0.0
30,50,0.0,16.4,157.1953125,0,0.0
31,50,0.0,45.2,157.33203125,0,0.0
32,50,0.0,53.7,157.359375,0,0.0
33,50,0.0,19.4,157.359375,0,0.0
34,50,0.0,13.2,157.359375,0,0.0
35,50,0.0,19.9,157.36328125,0,0.0
36,50,0.0,12.6,157.37109375,0,0.0
37,50,0.0,45.3,164.65234375,0,0.0
38,50,0.0,56.7,164.65234375,0,0.0
39,50,0.0,43.6,164.65234375,0,0.0
40,50,0.0,76.1,164.65234375,0,0.0
41,50,0.0,58.9,164.65234375,0,0.0
42,50,0.0,35.9,164.65234375,0,0.0
43,50,0.0,34.2,164.65234375,0,0.0
44,50,0.0,67.1,164.65234375,0,0.0
45,50,0.0,43.4,164.65234375,0,0.0
46,50,0.0,44.7,164.65234375,0,0.0
47,50,0.0,26.3,164.65234375,0,0.0
48,50,0.0,27.6,164.65234375,0,0.0
49,50,0.0,26.4,164.65234375,0,0.0
50,50,0.0,25.2,164.65234375,0,0.0
51,50,0.0,26.1,164.65234375,0,0.0
52,50,0.0,24.1,164.65234375,0,0.0
53,50,0.0,66.9,164.65234375,0,0.0
54,50,0.0,46.5,164.65234375,0,0.0
55,50,0.0,43.1,164.65234375,0,0.0
56,50,0.0,53.2,164.65234375,0,0.0
57,50,0.0,70.9,164.65234375,0,0.0
58,50,0.0,43.4,164.65234375,0,0.0
59,50,0.0,40.1,164.65234375,0,0.0
60,50,0.0,32.1,164.65234375,0,0.0
61,50,0.0,31.0,164.65234375,0,0.0
62,50,0.0,28.2,164.65234375,0,0.0
63,50,0.0,28.1,164.65234375,0,0.0
64,50,0.0,25.3,164.65234375,0,0.0
65,50,0.0,69.0,164.65234375,0,0.0
66,50,0.0,37.5,164.65234375,0,0.0
67,50,0.0,34.4,164.65234375,0,0.0
68,50,0.0,31.2,164.65234375,0,0.0
69,50,0.0,20.8,164.65234375,0,0.0
70,50,0.0,30.6,164.65234375,0,0.0
71,50,0.0,19.1,164.65234375,0,0.0
72,50,0.0,31.2,164.65234375,0,0.0
73,50,0.0,22.0,164.65234375,0,0.0
74,50,0.0,19.7,164.65234375,0,0.0
75,50,0.0,20.1,164.65234375,0,0.0
76,50,0.0,20.3,164.65234375,0,0.0
77,50,0.0,22.2,164.65234375,0,0.0
78,50,0.0,20.3,164.65234375,0,0.0
79,50,0.0,18.9,164.65234375,0,0.0
80,50,0.0,25.8,164.65234375,0,0.0
81,50,0.0,23.3,164.65234375,0,0.0
82,50,0.0,20.8,164.65234375,0,0.0
83,50,0.0,21.3,164.65234375,0,0.0
84,50,0.0,22.2,164.65234375,0,0.0
85,50,0.0,21.9,164.65234375,0,0.0
86,50,0.0,28.3,164.65234375,0,0.0
87,50,0.0,23.3,164.65234375,0,0.0
88,50,0.0,21.4,164.65234375,0,0.0
89,50,0.0,27.8,164.65234375,0,0.0
90,50,0.0,24.2,164.65234375,0,0.0
91,50,0.0,28.0,164.65234375,0,0.0
92,50,0.0,24.7,164.65234375,0,0.0
93,50,0.0,25.2,164.65234375,0,0.0
94,50,0.0,22.6,164.65234375,0,0.0
95,50,0.0,20.6,164.65234375,0,0.0
96,50,0.0,35.2,164.65234375,0,0.0
97,50,3.0610122500002035,46.9,164.68359375,0,16.334465829072286
98,50,0.0,20.4,164.68359375,0,0.0
99,50,0.0,18.9,164.68359375,0,0.0
100,50,0.0,28.5,164.68359375,0,0.0
101,50,0.0,17.9,164.68359375,0,0.0
102,50,0.0,24.7,164.68359375,0,0.0
103,50,0.0,20.8,164.68359375,0,0.0
104,50,0.0,21.1,164.68359375,0,0.0
105,50,0.0,27.5,164.68359375,0,0.0
106,50,0.0,19.0,164.68359375,0,0.0
107,50,0.0,18.4,164.68359375,0,0.0
108,50,0.0,20.3,164.68359375,0,0.0
109,50,0.0,19.5,164.68359375,0,0.0
110,50,0.0,28.0,164.68359375,0,0.0
111,50,0.0,19.7,164.68359375,0,0.0
112,50,0.0,18.2,164.68359375,0,0.0
113,50,0.0,21.4,164.68359375,0,0.0
114,50,0.0,18.5,164.68359375,0,0.0
115,50,0.0,26.9,164.68359375,0,0.0
116,50,0.0,20.3,164.68359375,0,0.0
117,50,0.0,19.3,164.68359375,0,0.0
118,50,0.0,21.9,164.68359375,0,0.0
119,50,0.0,18.2,164.68359375,0,0.0
120,50,0.0,45.6,164.68359375,0,0.0
121,50,0.0,21.0,164.68359375,0,0.0
122,50,0.0,17.7,164.68359375,0,0.0
123,50,0.0,25.8,164.68359375,0,0.0
124,50,0.0,21.4,164.68359375,0,0.0
125,50,0.0,29.2,164.68359375,0,0.0
126,50,0.0,20.3,164.68359375,0,0.0
127,50,0.0,17.7,164.68359375,0,0.0
128,50,0.0,20.3,164.68359375,0,0.0
129,50,0.0,18.9,164.68359375,0,0.0
130,50,0.0,30.4,164.68359375,0,0.0
131,50,0.0,19.5,164.68359375,0,0.0
132,50,0.0,23.8,164.68359375,0,0.0
133,50,0.0,17.6,164.68359375,0,0.0
134,50,0.0,26.9,164.68359375,0,0.0
135,50,0.0,17.6,164.68359375,0,0.0
136,50,0.0,27.0,164.68359375,0,0.0
137,50,0.0,18.1,164.68359375,0,0.0
138,50,0.0,19.4,164.68359375,0,0.0
139,50,0.0,20.5,164.68359375,0,0.0
140,50,0.0,17.7,164.68359375,0,0.0
141,50,0.0,21.2,164.68359375,0,0.0
142,50,0.0,26.4,164.68359375,0,0.0
143,50,0.0,17.7,164.68359375,0,0.0
144,50,0.0,18.8,164.68359375,0,0.0
145,50,0.0,17.6,164.68359375,0,0.0
146,50,0.0,22.0,164.68359375,0,0.0
147,50,0.0,18.7,164.68359375,0,0.0
148,50,0.0,16.0,164.68359375,0,0.0
149,50,0.0,26.9,164.68359375,0,0.0
150,50,0.0,17.7,164.68359375,0,0.0
151,50,0.0,19.4,164.68359375,0,0.0
152,50,0.0,24.4,164.68359375,0,0.0
153,50,0.0,17.6,164.68359375,0,0.0
154,50,0.0,19.3,164.68359375,0,0.0
155,50,0.0,25.3,164.68359375,0,0.0
156,50,0.0,21.7,164.68359375,0,0.0
157,50,0.0,17.0,164.68359375,0,0.0
158,50,0.0,17.2,164.68359375,0,0.0
159,50,0.0,23.6,164.68359375,0,0.0
160,50,0.0,19.3,164.68359375,0,0.0
161,50,0.0,26.1,164.68359375,0,0.0
162,50,0.0,29.4,164.68359375,0,0.0
163,50,0.0,17.5,164.68359375,0,0.0
164,50,0.0,16.7,164.68359375,0,0.0
165,50,0.0,26.2,164.68359375,0,0.0
166,50,0.0,19.3,164.68359375,0,0.0
167,50,0.0,17.6,164.68359375,0,0.0
168,50,0.0,17.7,164.68359375,0,0.0
169,50,0.0,31.3,164.68359375,0,0.0
170,50,0.0,17.6,164.68359375,0,0.0
171,50,0.0,19.1,164.68359375,0,0.0
172,50,0.0,19.6,164.68359375,0,0.0
173,50,0.0,18.4,164.68359375,0,0.0
174,50,0.0,17.7,164.68359375,0,0.0
175,50,0.0,17.0,164.68359375,0,0.0
176,50,0.0,19.4,164.68359375,0,0.0
177,50,0.0,24.4,164.68359375,0,0.0
178,50,0.0,17.0,164.68359375,0,0.0
179,50,0.0,17.5,164.68359375,0,0.0
180,50,0.0,17.7,164.68359375,0,0.0
181,50,0.0,20.8,164.68359375,0,0.0
182,50,0.0,18.7,164.68359375,0,0.0
183,50,0.0,15.4,164.68359375,0,0.0
184,50,0.0,22.2,164.68359375,0,0.0
185,50,0.0,23.9,164.68359375,0,0.0
186,50,0.0,19.1,164.68359375,0,0.0
187,50,0.0,16.5,164.68359375,0,0.0
